collection,link_path,link_type,linking_record_sample,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b12,b16,b32,b64,b128,b256,b512,b1024,b4096,b16384,b65535,b262144,bmax
"app.bsky.feed.generator",".skyfeedBuilder.parent.parent.parentUri","at-uri","at://did:plc:vhzquiqf6snti6n6qwgkseo3/app.bsky.feed.generator/aaalvnewohii4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fyi.unravel.frontpage.comment",".parent.uri","at-uri","at://did:plc:kv7sv4lynbv5s6gdhn5r5vcw/fyi.unravel.frontpage.comment/3lhwzlufwus2p",9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.graph.starterpack",".feeds[].labels[].uri","at-uri","",33,4,2,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"ge.shadowcaster.dev.board.channel.3lh4uddvbzk2x.members",".channelUri","at-uri","at://did:plc:gdbw3mid53ebnu55rjdmz4vz/ge.shadowcaster.dev.board.channel.3lh4uddvbzk2x.members/3lh4udkjg4c2x",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.feed.post",".skeetsAppHistory.data[].2025-02-02T14:01:53.112Z","uri","at://did:plc:ljqexd2ovaejoew2povsstvi/app.bsky.feed.post/3lh76vwqzsi2g",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.feed.generator",".skyfeedBuilder.blocks[].link","uri","at://did:plc:imtthwugvtsrbwutkqqhtqya/app.bsky.feed.generator/aaaibnwwn3p4g",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.directMessage",".recipient","did","at://did:plc:weduwh2pissdaq467zal7ukh/app.bsky.directMessage/3lhngbj5nxl23",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.graph.starterpack",".feeds[].creator.description","uri","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"app.bsky.feed.post",".reply.parent.author.viewer.followedBy","at-uri","at://did:plc:4x27xkw7cb7ysswmk2pdbip5/app.bsky.feed.post/3lhfdpyxyvp2n",0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"dev.mikchan.atfs.bookmark",".root.owner","did","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.feed.post",".embed.media.external.preview","uri","at://did:plc:kesdxavt7jkgrhbumsyyox35/app.bsky.feed.post/3lik43efuqk23",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
